,ORDER.ID,FAMILY.ID,GENUS.ID,SPECIES.ID,ORDER.DESC,FAMILY,GENUS,SPECIES,ECOREGION.CODE,RECTIFIED
1887,4,32,4651,15114,Artiodactyla,Camelidae,Vicugna,vicugna,NT0153,
1888,4,32,4651,15114,Artiodactyla,Camelidae,Vicugna,vicugna,NT0223,
1889,4,32,4651,15114,Artiodactyla,Camelidae,Vicugna,vicugna,NT1001,
1890,4,32,4651,15114,Artiodactyla,Camelidae,Vicugna,vicugna,NT0105,
1891,4,32,4651,15114,Artiodactyla,Camelidae,Vicugna,vicugna,NT1004,
1892,4,33,2542,15157,Artiodactyla,Cervidae,Mazama,bricenii,NT0136,
1893,4,33,2542,15156,Artiodactyla,Cervidae,Mazama,americana,NT0121,
1894,4,33,2542,15156,Artiodactyla,Cervidae,Mazama,americana,NT0109,
1895,4,33,2542,15156,Artiodactyla,Cervidae,Mazama,americana,NT0153,
1896,4,33,2542,15159,Artiodactyla,Cervidae,Mazama,gouazoupira,NT1007,
1897,4,33,3034,15163,Artiodactyla,Cervidae,Odocoileus,virginianus,NT0118,
1898,4,33,3799,15165,Artiodactyla,Cervidae,Pudu,mephistophiles,NT0136,
1899,4,33,2542,15156,Artiodactyla,Cervidae,Mazama,americana,NT0136,
1900,4,33,2542,15156,Artiodactyla,Cervidae,Mazama,americana,NT0118,
1901,4,33,2542,15158,Artiodactyla,Cervidae,Mazama,chunyi,NT0105,
1902,4,33,2542,15157,Artiodactyla,Cervidae,Mazama,bricenii,NT1006,
1903,4,33,3034,15163,Artiodactyla,Cervidae,Odocoileus,virginianus,NT0153,
1904,4,33,2542,95608,Artiodactyla,Cervidae,Mazama,temama,NT0145,
1905,4,33,2542,15156,Artiodactyla,Cervidae,Mazama,americana,NT0159,
1906,4,33,2542,15156,Artiodactyla,Cervidae,Mazama,americana,NT0105,
1907,4,33,3799,15165,Artiodactyla,Cervidae,Pudu,mephistophiles,NT0153,
1908,4,33,2542,15156,Artiodactyla,Cervidae,Mazama,americana,NT0175,
1909,4,33,2542,15159,Artiodactyla,Cervidae,Mazama,gouazoupira,NT0165,
1910,4,33,3799,15165,Artiodactyla,Cervidae,Pudu,mephistophiles,NT0121,
1911,4,33,2542,15161,Artiodactyla,Cervidae,Mazama,rufina,NT0145,
1912,4,33,3799,15165,Artiodactyla,Cervidae,Pudu,mephistophiles,NT0145,
1913,4,33,3034,15163,Artiodactyla,Cervidae,Odocoileus,virginianus,NT0225,
1914,4,33,3799,15165,Artiodactyla,Cervidae,Pudu,mephistophiles,NT1006,
1915,4,33,3034,15163,Artiodactyla,Cervidae,Odocoileus,virginianus,NT0207,
1916,4,33,2542,15157,Artiodactyla,Cervidae,Mazama,bricenii,NT0175,
1917,4,33,3034,15163,Artiodactyla,Cervidae,Odocoileus,virginianus,NT0109,
1918,4,33,3034,15163,Artiodactyla,Cervidae,Odocoileus,virginianus,NT0221,
1919,4,33,2542,15159,Artiodactyla,Cervidae,Mazama,gouazoupira,NT0175,
1920,4,33,3799,15165,Artiodactyla,Cervidae,Pudu,mephistophiles,NT0109,
1921,4,33,2542,15157,Artiodactyla,Cervidae,Mazama,bricenii,NT0118,
1922,4,33,2542,15159,Artiodactyla,Cervidae,Mazama,gouazoupira,NT0118,
1923,4,33,3799,15165,Artiodactyla,Cervidae,Pudu,mephistophiles,NT0225,
1924,4,33,3034,15163,Artiodactyla,Cervidae,Odocoileus,virginianus,NT1007,
1925,4,33,2542,15158,Artiodactyla,Cervidae,Mazama,chunyi,NT0153,
1926,4,33,1967,15154,Artiodactyla,Cervidae,Hippocamelus,antisensis,NT0121,
1927,4,33,2542,15159,Artiodactyla,Cervidae,Mazama,gouazoupira,NT0105,
1928,4,33,3034,15163,Artiodactyla,Cervidae,Odocoileus,virginianus,NT0175,
1929,4,33,1967,15154,Artiodactyla,Cervidae,Hippocamelus,antisensis,NT0225,
1930,4,33,3034,15163,Artiodactyla,Cervidae,Odocoileus,virginianus,NT0136,
1931,4,33,3034,15163,Artiodactyla,Cervidae,Odocoileus,virginianus,NT0145,
1932,4,33,2542,95608,Artiodactyla,Cervidae,Mazama,temama,NT0214,
1933,4,33,3034,15163,Artiodactyla,Cervidae,Odocoileus,virginianus,NT1005,
1934,4,33,2542,15159,Artiodactyla,Cervidae,Mazama,gouazoupira,NT0159,
1935,4,33,1967,15154,Artiodactyla,Cervidae,Hippocamelus,antisensis,NT1006,
1936,4,33,2542,15161,Artiodactyla,Cervidae,Mazama,rufina,NT1006,
